"memory_file","key","old_value","new_value","action"
"ProductBrandMemory_CS.csv","JapTec Belag Performance rot 1,5 mm","JapTec","","previously_rejected"
"ProductBrandMemory_CS.csv","JapTec Belag Performance rot 2,0 mm","JapTec","","previously_rejected"
"ProductBrandMemory_CS.csv","JapTec Belag Performance schwarz 1,5 mm","JapTec","","previously_rejected"
"ProductBrandMemory_CS.csv","JapTec Belag Performance schwarz 2,0 mm","JapTec","","previously_rejected"
"ProductBrandMemory_CS.csv","Kombo pre najmenších","YoungJoy","","previously_rejected"
"ProductBrandMemory_CS.csv","Kordel für TT-Medaillen rot/schwarz","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","LEX GP 1000 ml","Joola","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationalteam Wettkampftrikot Durban schwarz/pink XXXL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 Fan-Edition blau S","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 Fan-Edition blau XL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 Fan-Edition blau XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 Fan-Edition blau XXL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 Fan-Edition blau XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 blau XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Nationaltrikot Paris 2024 blau XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Rucksack National Team Edition schwarz","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau L","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau M","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau S","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau XL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau XXL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Shorts Stripes blau XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Team Wettkampftrikot Topspin blau/orange S","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Team Wettkampftrikot Topspin blau/orange XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Team Wettkampftrikot Topspin blau/orange XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Team Wettkampftrikot Topspin rot/schwarz XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Team Wettkampftrikot Topspin rot/schwarz XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine M","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine S","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine XL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine XS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine XXL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine XXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Tischtennis Wettkampf Set Base blau/marine XXXS","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Trainingsshirt Guard schwarz L","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Trainingsshirt Guard schwarz M","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Trainingsshirt Guard schwarz XL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","LI-NING Trainingsshirt Guard schwarz XXL","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","Lakování dřeva","Stoten","","previously_rejected"
"ProductBrandMemory_CS.csv","Lepidlo Lat-X 100 ml","SpinWay","","previously_rejected"
"ProductBrandMemory_CS.csv","Magazin: Elfneun - Material im Fokus","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Matador 70mm silber","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Platzierung 45mm gold","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Rose mit Emblem 40mm gold","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Rose mit Emblem und Kordel 40mm bronze","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Rose mit Emblem und Kordel 40mm silber","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Sieger 70mm gold","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Medaille Sieger 70mm silber","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Metal TT Holz Black  konkav","Gewo","","previously_rejected"
"ProductBrandMemory_CS.csv","Nittaku Hurricane Pro 3 Turbo Orange","Nittaku","","previously_rejected"
"ProductBrandMemory_CS.csv","Pokal Kaya 19 cm gold","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Pokal Stern 31,5 cm gold","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Pokal TT-Resinfigur Winner  silber","Contra","","previously_rejected"
"ProductBrandMemory_CS.csv","Pálka BLACKSTONE + ANDRO POWER 3","Blackstone","","previously_rejected"
"ProductBrandMemory_CS.csv","REvolution No. 3 Cleaner & Rejuvenator 100 ml","SportSpin","","previously_rejected"
"ProductBrandMemory_CS.csv","SWEEDEX-Tuning Booster","VseNaStolniTenis","","kept_old"
"ProductBrandMemory_CS.csv","Spielblock TTVN Swaithling Cup 3er Pokal","Gewo","Contra","manual"
"ProductBrandMemory_CS.csv","Spielblock Thüringen","Gewo","Contra","manual"
"ProductBrandMemory_CS.csv","Sponeta Abdeckhaube","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Black Indoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Black NEO Outdoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Black Outdoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Pro Indoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Pro Outdoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Raw Indoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Sponeta Tisch SDL Raw Outdoor grau","Gewo","Sponeta","accepted"
"ProductBrandMemory_CS.csv","Stolnotenisový robot Donic Newgy Robo-pong 2055","Donic","","kept_old"
"ProductBrandMemory_CS.csv","TIBHAR - Osmium souprava","Tibhar","","kept_old"
"ProductBrandMemory_CS.csv","TT Metal - Brutal","TT Metal","","kept_old"
"ProductBrandMemory_CS.csv","Tibhar - BASIC 40+ SL 72 ks","Tibhar","","kept_old"
"ProductBrandMemory_CS.csv","Tibhar - BASIC 40+ SYNTT NG 72 ks","Tibhar","","kept_old"
"ProductBrandMemory_CS.csv","Tibhar - Osmium tričko","Tibhar","","kept_old"
"ProductBrandMemory_CS.csv","Tibhar - boxerky Bruno Banani","Tibhar","","kept_old"
"ProductBrandMemory_CS.csv","Tištěný katalog Schoeler Micke 2025/26","Andro","Andro","manual"
"ProductBrandMemory_CS.csv","Tuning potahu","Tuning","VseNaStolniTenis","manual"
"ProductBrandMemory_CS.csv","Umrandungstuch neutral 73cm blau","Gewo","","kept_old"
"ProductBrandMemory_CS.csv","der materialspezialist Belag  E.S.P. BlackSpin Edition schwarz 0,6 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag  E.S.P. BlackSpin Edition schwarz 1,2 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag  E.S.P. Effectiv Spin Processor rot 1,2 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed blau 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed blau 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed blau 2,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed rot 1,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed rot 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed schwarz 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed schwarz 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Anti-Speed schwarz 2,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Burnout rot 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Burnout rot 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Burnout rot 2,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Burnout schwarz 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Burnout schwarz 2,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elimination Extra Long rot 0,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elimination Extra Long rot 1,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elimination Extra Long schwarz 1,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elite Long rot 0,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elite Long rot 1,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elite Long schwarz 0,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Elite Long schwarz 1,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Fakir blau 1,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Fakir schwarz 1,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Firestorm rot 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Firestorm rot 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Firestorm schwarz 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Firestorm schwarz 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Firestorm schwarz 2,1 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Flashback rot 1,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Flashback rot 1,8 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Flashback rot 2,1 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Flashback schwarz 1,8 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hardcore Speed schwarz 2,1 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat rot 1,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat rot 1,8 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat rot 2,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat schwarz 1,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat schwarz 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellcat schwarz 2,0 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellracer rot 2,1 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellracer schwarz 1,5 mm","Gewo","Der Materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Hellracer schwarz 1,8 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Kamikaze rot 0,5 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Kamikaze rot 1,0 mm","Gewo","Der materialspezialist","accepted"
"ProductBrandMemory_CS.csv","der materialspezialist Belag Kamikaze schwarz 0,5 mm","Gewo","Der Materialspezialist","accepted"
