name,short_description,description,main_photo_filepath,gallery_photo_filepaths,variants,url
Kasumi Basic OFF-,"<p>Das <b><i>KASUMI BASIC </i></b>ist ein 5-schichtiges Holz, das über eine sehr gute Balance zwischen Defensive und Offensive verfügt.</p>","<div class=""rte text--pull""> <p>Das <b><i>KASUMI BASIC </i></b>ist ein 5-schichtiges Holz, das über eine sehr gute Balance zwischen Defensive und Offensive verfügt.</p> <p>Es eignet sich besonders gut für Topspins direkt am Tisch.</p> <p>Allroundholz mit sehr guten Kontrolleigenschaften und guter Ballrückmeldung.</p> <p> </p> <p><span style=""color: #666666;""><strong>Made in China<br/></strong></span><span style=""color: #666666;""><strong>Speed: medium<br/></strong></span><span style=""color: #666666;""><strong>Feel: medium<br/></strong></span><span style=""color: #666666;""><strong>Furnierschichten: 5 ply<br/></strong></span><span style=""color: #666666;""><strong>Holzdicke: 5,8 mm<br/></strong></span><span style=""color: #666666;""><strong>Gewicht: ca. 85 g<br/></strong></span><span style=""color: #666666;""><strong>Maße: 156 X 152 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Kasumi Basic OFF-\MainImage\Nittaku_Tischtennis_Holz_Kasumi_Basic_ST_1600x.png%3Fv=1723114627,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Kasumi Basic OFF-\GalleryImages\Nittaku_Tischtennis_Holz_Kasumi_Basic_FL_1600x.png%3Fv=1723114628,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/allround-holzer/products/kasumi-basic
Nittaku Factive Seven,<h1>Das Factive Sieben ist ein siebenschichtiges Vollholz. Es eignet sich optimal um ein gefühlvolles und variantenreiches Tischtennis nah am Tisch und aus der Halbdistanz zu spielen</h1>,"<div class=""rte text--pull""> <h1>Das Factive Sieben ist ein siebenschichtiges Vollholz. Es eignet sich optimal um ein gefühlvolles und variantenreiches Tischtennis nah am Tisch und aus der Halbdistanz zu spielen</h1> <p>Dieses <strong>Tischtennis Holz</strong> harmonisiert sehr gut mit den <strong>Factive Belägen</strong> und ist ach für Allroundspieler geeignet.</p> <p>Das Holz hat einen hölzernen Kantenschutz.</p> <p><em>Speed: Mid Fast</em></p> <p><em>Feel: Mid Hard</em></p> <p><em>Furnierschichten: 7</em></p> <p><em>Holzdicke: 6,2 mm</em></p> <p><em>Gewicht ca.: 83 g</em></p> <p><em>Maße: 157 x 150 mm</em></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive Seven\MainImage\FactiveSeven_1600x.jpg%3Fv=1663767318,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive Seven\GalleryImages\FactiveSevenEdge_1600x.jpg%3Fv=1663767318,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/allround-holzer/products/nittaku-factive-seven
Nittaku S-Serie Holz S-5,<p>Das S-5 Tischtennis Holz aus der Nittaku S-Series ist ein fünfschichtiges Allround-Holz. Alle 5 Furniere bestehen aus unsere Fichte. Dadurch hat das Holz einen weichen Anschlag mit viel Gefühl. Es ist einfach bei Angaben viel Rotation in die Bälle zu bekommen.</p>,"<div class=""rte text--pull""> <p>Das S-5 Tischtennis Holz aus der Nittaku S-Series ist ein fünfschichtiges Allround-Holz. Alle 5 Furniere bestehen aus unsere Fichte. Dadurch hat das Holz einen weichen Anschlag mit viel Gefühl. Es ist einfach bei Angaben viel Rotation in die Bälle zu bekommen.</p> <p>Das Holz eignet sich perfekt für das Allround-Spiel und kann von Spielern mit unterschiedlichen Spielstilen genutzt werden.</p> <p>Der Griff ist aus hochwertigem Holz gefertigt und bietet eine angenehme Haptik.</p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 </strong></span></p> <p><span style=""color: #666666;""><strong>Gewicht: ca. 85g</strong></span></p> <p><span style=""color: #666666;""><strong>Made in Germany</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku S-Serie Holz S-5\MainImage\nittaku-s-series-s5-fl-tischtennis-holz_1600x.jpg%3Fv=1483884381,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku S-Serie Holz S-5\GalleryImages\nittaku-s-series-s5-st-tischtennis-holz_1600x.jpg%3Fv=1483884382;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku S-Serie Holz S-5\GalleryImages\nittaku-s-series-s5-cpen-tischtennis-holz_1600x.jpg%3Fv=1483884384,"{""key_value_pairs"": [[""Griff"", ""gerade//straight""], [""Griff"", ""konkav//flared""], [""Griff"", ""chinese penholder""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/allround-holzer/products/s5-s-serie
Sanalion S ALL,<p>Das <em><strong>SANALION S</strong></em> ist sehr vielseitig und für alle Aspekte des Allround-Spiels gut geeignet.</p>,"<div class=""rte text--pull""> <p>Das <em><strong>SANALION S</strong></em> ist sehr vielseitig und für alle Aspekte des Allround-Spiels gut geeignet.</p> <p>Durch sein geringes Gewicht können auch Kinder gut damit spielen.</p> <p> </p> <p><span style=""color: #666666;""><strong>Speed: medium slow</strong></span><br/><span style=""color: #666666;""><strong>Feel: Hard</strong></span><br/><span style=""color: #666666;""><strong>Furnierschichten : 5 ply</strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 6,4 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 78 g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion S ALL\MainImage\sanalion_s_st_2_1600x.jpg%3Fv=1663767019,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion S ALL\GalleryImages\sanalion_s_fl_2.IIQ_1600x.jpg%3Fv=1663767019;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion S ALL\GalleryImages\sanalion_s_st_1600x.jpg%3Fv=1663767019;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion S ALL\GalleryImages\sanalion_s_fl_1600x.jpg%3Fv=1663767019,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/allround-holzer/products/sanalion-s
Alhelg,<p>Unser neuer Belag <em>ALHELG</em> wurde extra für den Plastikball entwickelt.</p>,"<div class=""rte text--pull""> <p>Unser neuer Belag <em>ALHELG</em> wurde extra für den Plastikball entwickelt.</p> <p><em>ALHELG</em> hat große Noppen und eine dicke Oberfläche aus ultra-hochwertigem, natürlichem Gummi, welchse dem Belag eine sehr gute Griffigkeit verleiht und damit die Spinentwicklung besonders beim neuen Plastikball fördert. Der neuentwickelte ""PLA Turbo Sponge"" zeichnet sich durch besonders große Luftporen aus, verleiht ein sicheres Spielgefühl und unterstützt das ""bissige"" Obergummi perfekt.</p> <p>Spin und Speed werden Sie überzeugen.</p> <p>Wir empfehlen diesen Belag besonders zum Topspin und Gegentopspin-Spiel, aber auch für verschiedene Techniken beim Kurz-Kurz-Spiel.</p> <p>Inklusive Belag-Schutzfolie.</p> <p><span style=""color: #666666;""><strong>Made in Japan</strong></span></p> <p><span style=""color: #666666;""><strong>Speed: 15.50</strong></span></p> <p><span style=""color: #666666;""><strong>Spin: 13.00</strong></span></p> <p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/HEU464LLwYQ"" width=""560""></iframe></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Alhelg\MainImage\nittaku_tischtennisbelag_rubber_alhelg_1600x.png%3Fv=1430160508,,"{""key_value_pairs"": [[""Farbe // color"", ""rot // red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/angebote/products/alhelg
Flyatt Kombi Angebot,<p>Angebot bestehend aus Flyatt Carbon Holz mit zwei Flyatt Spin Belägen.</p>,"<div class=""rte text--pull""> <p>Angebot bestehend aus Flyatt Carbon Holz mit zwei Flyatt Spin Belägen.</p> <p>Bitte wählen Sie Ihre Kombi unten aus.</p> <p>Alle Kombis bestehen aus einem roten und einem schwarzen Flyatt Spin Belag.</p> <p>Sollten Sie eine Kombi wünschen, die nicht auswählbar ist, hinterlassen Sie Ihre Wünsche bitte im Kommentarfeld. Wir prüfen dann Ihre Anfrage.</p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Kombi Angebot\MainImage\Flyatt_Angebot_1600x.jpg%3Fv=1508671823,,"{""key_value_pairs"": [[""Kombinationen"", ""Griff gerade Schwamm 2.0mm""], [""Kombinationen"", ""Griff gerade Schwamm 1.8mm""], [""Kombinationen"", ""Griff konkav Schwamm 2.0mm""], [""Kombinationen"", ""Griff konkav Schwamm 1.8mm""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/angebote/products/flyatt-combi-angebot
Nittaku Sporttasche Tanto Tour,"<p data-mce-fragment=""1"">Nittaku Tischtennis Sport-Tasche Tanto Tour mit separatem Seitenfach.</p>","<div class=""rte text--pull""> <p data-mce-fragment=""1"">Nittaku Tischtennis Sport-Tasche Tanto Tour mit separatem Seitenfach.</p> <p data-mce-fragment=""1"">Die Große Tasche hat für alles Platz was beim Tischtennis Training oder an einem Spieltag benötigt wird. Durch die vielen Seitentaschen können alle Sachen bequem verstaut werden. So verschwenden Sie Ihre Zeit nicht mit Suchen und könne sich voll auf Ihr Spiel konzentrieren.</p> <p data-mce-fragment=""1"">Maße: <span data-mce-fragment=""1"">breite 60× höhe 30× tiefe 30cm | ca. 54 liter</span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Sporttasche Tanto Tour\MainImage\NittakuTascheTantoTourAuswahl_1600x.jpg%3Fv=1715086177,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Sporttasche Tanto Tour\GalleryImages\NittakuTascheTantoInnenansicht_1600x.jpg%3Fv=1715086177;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Sporttasche Tanto Tour\GalleryImages\NittakuTischtennisTascheTantoSeitentasche_1600x.jpg%3Fv=1715086177;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Sporttasche Tanto Tour\GalleryImages\NittakuTascheTantoTourSchwarzGelb_1600x.jpg%3Fv=1715086166;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Sporttasche Tanto Tour\GalleryImages\NittakuTascheTantoTourGrauSchwarz_1600x.jpg%3Fv=1715086177,"{""key_value_pairs"": [[""Farbe // Colour"", ""schwarz/gelb""], [""Farbe // Colour"", ""grau//schwarz""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/angebote/products/nittaku-sporttasche-daly-tour
Tischtennis Schlägerhülle Nittaku Puro Case,<p>Gut gepolsterte und hochwertige Tischtennis Schlägerhülle Nittaku Puro Case für bis zu zwei Schläger und vier Bälle oder ein Schläger und Zubehör.</p>,"<div class=""rte text--pull""> <p>Gut gepolsterte und hochwertige Tischtennis Schlägerhülle Nittaku Puro Case für bis zu zwei Schläger und vier Bälle oder ein Schläger und Zubehör.</p> <p>Wenn nur ein Schläger in der Hülle ist, gibt es genug Platz für einen Belag Reiniger</p> <p><a href=""https://nittaku.tt/collections/tischtennisbelag-reinigen/products/clean-mist"" title=""Tischtennis Belagreiniger"">Clean Mist</a> und den <a href=""https://nittaku.tt/collections/reinigen-cleaner/products/carespo-cap-sponge"" title=""Carespo Cap Sponge"">Carespo Cap Sponge</a>, sowie ein <a href=""https://nittaku.tt/collections/tischtennis-belag-kleber-finezip/products/fine-zip-belagkleber-tt-kleber"" title=""Fine Zip 25 ml"">Fine Zip 25 ml</a></p> <p>Erhältlich in drei Farben: Schwarz, Blau, Hellblau </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\MainImage\PuroSchlaegerhuelleFarben_1600x.png%3Fv=1688042555,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\PuroSchlaegerhuelleFrau_1600x.png%3Fv=1688042555;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\PuroSchlaegerhuelletuerkies_1600x.png%3Fv=1653992281;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\PuroSchlaegerhuelleblau_1600x.png%3Fv=1653992281;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\PuroSchlaegerhuelleinnen_1600x.png%3Fv=1653992281;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\PuroSchlaegerhuelleschwarz_1600x.png%3Fv=1653992281;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Tischtennis Schlägerhülle Nittaku Puro Case\GalleryImages\SchlaegerhuelleStreaminnen_1600x.png%3Fv=1653992281,"{""key_value_pairs"": [[""Farbe//Colour"", ""Farbe: Schwarz""], [""Farbe//Colour"", ""Farbe: Blau""], [""Farbe//Colour"", ""Farbe: Hellblau""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/angebote/products/schlagerhulle
Nittaku Abwehr Holz Escuder 2,<h1>Das defensive Nittaku Escuder 2 Tischtennis Holz ist ein klassisches </h1>,"<div class=""rte text--pull""> <h1>Das defensive Nittaku Escuder 2 Tischtennis Holz ist ein klassisches </h1> <h1>5-schichtiges Holz mit zwei innen liegenden Kevlar Schichten.</h1> <h3>Durch die Kevlar Schichten wird das defensive Holz etwas versteift, was den Sweetspot vergrößert und die Genauigkeit beim Blocken und Schießen erhöht. Dennoch bleibt genug Flexibilität im Holz um genug Kontrolle zu vermitteln.</h3> <p><strong><em>Blattdicke: 5,4 mm</em></strong></p> <p><strong><em>Gewicht: ca. 85g</em></strong></p> <p><strong><em>Blattgröße: <span>166×156mm</span></em></strong></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Abwehr Holz Escuder 2\MainImage\TischtennisDefensiveHolzNittakuEscuderIIFL_1600x.jpg%3Fv=1714701309,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Abwehr Holz Escuder 2\GalleryImages\TischtennisAbwehrHolzNittakuEscuderIIST_1600x.jpg%3Fv=1714701309;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Abwehr Holz Escuder 2\GalleryImages\TischtennisAbwehrHolzNIttakuEscuder2Schnitt_1600x.jpg%3Fv=1714701310,"{""key_value_pairs"": [[""Giffform//Handle"", ""konkav//flared""], [""Giffform//Handle"", ""gerade//straight""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/defensive-holzer/products/nittaku-abwehr-holz-escuder-2
Sanalion D DEF,<p>Das <em><strong>SANALION D</strong></em> ist besonders für defensive Spielweise geeignet.</p>,"<div class=""rte text--pull""> <p>Das <em><strong>SANALION D</strong></em> ist besonders für defensive Spielweise geeignet.</p> <p>Aufgrund der weichen Furnierzusammenstellung und dem großen Sweet-Spot hat dieses Holz sehr hohe Kontrollwerte und spielt sich sehr exakt.</p> <p>Präzise Angriffe sind mit diesem Holz jederzeit möglich.</p> <p> </p> <p><span style=""color: #666666;""><strong>Speed: slow<br/></strong></span><span style=""color: #666666;""><strong>Feel: soft<br/></strong></span><span style=""color: #666666;""><strong>Furnierschichten: 5 ply<br/></strong></span><span style=""color: #666666;""><strong>Holzdicke :5,7 mm<br/></strong></span><span style=""color: #666666;""><strong>Gewicht: ca. 80 g<br/></strong></span><span style=""color: #666666;""><strong>Maße: 165 X 156 mm</strong></span></p> <p> </p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion D DEF\MainImage\sanalion_d_fl_2_1600x.jpg%3Fv=1382902785,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion D DEF\GalleryImages\sanalion_d_st_1600x.jpg%3Fv=1382902785;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion D DEF\GalleryImages\sanalion_d_fl_1600x.jpg%3Fv=1382902784;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Sanalion D DEF\GalleryImages\sanalion_d_st_2_1600x.jpg%3Fv=1382902785,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/defensive-holzer/products/sanalion-d
