"KEY","VALUE"
"Čističe","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Dřeva","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Dřeva>Dřeva ALL","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Dřeva>Dřeva DEF","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Dřeva>Dřeva OFF","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Lepidla","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Lepidla>Klasické přelepování","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Lepidla>Lepicí fólie","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Lepidla>Příslušenství k lepení","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Lepidla>Vodou ředitelné","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Míčky","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové míčky"
"Míčky>*** I.T.T.F","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové míčky"
"Míčky>Tréninkové","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové míčky"
"Ohrádky","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Pálky","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Pálky>Hotové pálky","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Pálky>Sady pálek","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Počítadla","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Poháry","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Doplňky na stolní tenis"
"Potahy","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
"Potahy>Antitopspiny","Sport | Míčové sporty | Raketové sporty | Stolní tenis | Pingpongové pálky"
