"KEY","VALUE"
"10 x Ersatzkettchen ""Kugel""","10x kuličkové řetízky pro stolní tenis s průměrem kuličky 4 mm a délkou 6 cm."
"2er Set GEWO Table Gewomatic SC 25 blue + 2 net and psot sets","Stůl GEWO Gewomatic SC 25 je soutěžní vnitřní stolnětenisový stůl s 25mm deskou, schválený ITTF, snadno skladovatelný a stabilní."
"2er Set GEWO Table Gewomatic SC 25 green + 2 net and post sets","Stůl GEWO Gewomatic SC 25 je soutěžní vnitřní stolnětenisový stůl s 25mm deskou, schválený ITTF, snadno skladovatelný a stabilní."
"2er Set GEWO Tisch Europa 25 + 2 Netze   blau","Pozor: Při doručování na ostrovy a do zahraničí mohou vzniknout dodatečné náklady. Turnajový stůl třídy A dle EN 14468-1, 25mm deska, kompaktní skládání."
"2er Set GEWO Tisch Gewomatic SC 25 blau + 2 Netze","GEWO Tisch Gewomatic SC 25 je špičkový stolní tenisový stůl splňující normy ITTF, ideální pro světové hráče s kompaktními rozměry a vysokou stabilitou."
"3er Set GEWO Headband / Stirnband","GEWO čelenka z prodyšné mikrofáze, rychle odvádí vlhkost pro pohodlí během hry, sada 3 kusů v různých barvách."
"4er Set GEWO Klebefolie Hydro Tec Duo","Oblíbená GEWO Hydro Tec Duo lepící fólie je v balení 4x, zajišťuje perfektní přilnutí bez lepidla, šetrná k dřevu a potahům, ITTF standard."
"4er Set GEWO Klebefolie HydroTec Duo","GEWO HydroTec Duo - sada 4 samolepících fólií pro bezchybnou aplikaci a péči o pálku, bez doby schnutí a zbytků lepidla, ITTF schváleno."
"5er Set Spielblock HeTTV/ Universal, alle Systeme","Oficiální průpisový blok pro stolní tenis HeTTV s 30 listy, vhodný pro různá herní schémata."
"5x Ersatzschnur","Náhradní šňůra pro všechny stolní tenis sítě, délka 2 m."
"Andro - Blowfish","Andro Blowfish je rychlý sendvič ideální pro kontrolu, bloky a topspiny, nabízí skvělý cit a Tensor technologii."
"Andro - Blowfish +","Andro Blowfish+ je rychlý sendvič pro útočnou hru, ideální na FH s vysokou rychlostí, dobrým blokováním a středně tvrdou houbou."
"andro - Bype","Bype nabízí skvělou kontrolu a různé údery díky vrchní gumě a houbě Tensor, ideální pro hráče s variabilním topspinem."
"andro - Bype SFX","Bype SFX využívá energii houby Tensor pro lepší kontrolu, variabilní topspiny a všestrannou hru, ideální pro pohodlí a zábavu."
"ANDRO - Gauzy HL CO OFF","Útočné prkno s KVL karbonem pro kreativní hru s rotací, nižší vibrace a vyšší citlivost, vyrobeno ve Švédsku ve spolupráci s andro."
"ANDRO - Gauzy SL OFF","Útočné prkno Gauzy SL OFF, vyvinuté špičkovým hráčem Simonem Gauzym, ideální pro rychlou kontrolovanou hru, vyrobené ve Švédsku."
"Andro - Hexer Grip","Novinka pro rok 2018 od Andro: ideální pro všestranný útok, spin a kontrolu, s výhodami řad Hexer a Rasant, tolerantní díky 45° zelené houbě."
"Andro - Hexer Grip SFX","Novinka Andro 2019: Hexer Grip SFX - skvělá kontrola, odpouští chyby, ideální pro hráče hledající cit a spin s plastovým míčkem."
"Andro - Hexer Powergrip","Nový Andro potah 2018 kombinující Hexer a Rasant, s 47,5° houbou pro rychlý topspin s plastovým míčem."
"Andro - Hexer Powergrip SFX","Nový potah Andro Hexer Powergrip SFX nabízí skvělou kontrolu a spin pro hráče hledající stabilitu a řízenou hru s plastovým míčem."
"Andro - Hexer Powersponge","Nový potah od Andra pro útočníky preferující topspin s vynikající kontrolou a rotací. Rychlost 101, rotace 110, kontrola 96, měkká houba."
"andro - NUZN 50","Andro NUZN 50 je revoluční potah pro vyšší rotaci a rychlost úderů s analytickými nástroji pro zlepšení hry."
"andro - NUZN 55","Andro NUZN 55 je potah s tvrdou houbou pro špičkovou topspinovou hru, nabízející dynamiku, rotaci a zvětšený sweetspot pro větší jistotu úderů."
"Andro - Performance","Rychlé a tiché prkno s dobrou kontrolou."
"Andro - Plaxon 350","Měkký útočný potah s výbornou kontrolou a tolerancí chyb, ideální pro hru s plastovými míčky."
"Andro - Plaxon 400","Maximálně přesný potah zlepšuje údery díky nové struktuře povrchu, která zvyšuje kontrolu, cit a přesnost při hře."
