"KEY","VALUE"
"Dodání do 5 pracovních dní","Na objednávku, dodání do 5 pracovních dní"
"Na prodejně/ihned k odeslání","Skladem/ihned k odeslání"
"Na závaznou objednávku s dodáním nejpozději do 10 pracovních dní.","Na objednávku, dodání do 10 pracovních dní"
"Objednáno u dodavetele/na cestě k nám","Objednáno u dodavatele"
"Novinka 2026 - čeká se na naskladnění!","Novinka 2026 - není skladem, čeká se na naskladnění!"
"Skladem v Praze 5 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 5 kusů v Praze. Osobní odběr zdarma.<br>Doručení dopravcem přibližně 27.02.2026."
"Skladem v Praze 2 kusy. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem v Praze: 2 kusy. Osobní odběr zdarma.<br>Přibližné doručení dopravcem: 27.02.2026."
"Zboží je skladem u dodavatele.<br />Při objednání dnes ho můžete obdržet 05.03.2026.","Zboží je skladem u dodavatele.<br />Při objednání dnes ho můžete obdržet 5. března 2026."
"Skladem v Praze 1 kus. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 1 kus v Praze. Osobní odběr ZDARMA.<br>Přibližný termín doručení: 27.02.2026."
"Skladem v Praze 3 kusy. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 3 kusy v Praze. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem: 27.02.2026."
"Skladem v Praze 6 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 6 kusů v Praze. Osobní odběr ZDARMA.<br>Přibližné doručení dopravcem: 27.02.2026."
"Skladem v Praze více než 10 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem v Praze: více než 10 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem: 27.02.2026."
"Skladem v Praze 7 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 7 kusů v Praze. Osobní odběr ZDARMA.<br>Přibližné doručení: 27.02.2026."
"Vyprodáno","Není skladem"
"Skladem v Praze 4 kusy. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 4 kusy v Praze. Osobní odběr ZDARMA.<br>Přibližné doručení dopravcem: 27.02.2026."
"Skladem v Praze 8 kusů. Osobní odběr ZDARMA.<br>Přibližný termín doručení dopravcem 27.02.2026.","Skladem: 8 kusů v Praze. Osobní odběr ZDARMA.<br>Přibližný termín doručení: 27.02.2026."
