"KEY","VALUE"
"Barevná kombinace","Barva"
"Barva","Barva"
"Breite","Šířka"
"Farbe","Barva"
"Farbe // Color","Barva"
"Farbe // Colour","Barva"
"Farbe // color","Barva"
"Farbe//Color","Barva"
"Farbe//Colour","Barva"
"Farbe/Colour","Barva"
"Griff","Držení"
"Griff // Handle","Držení"
"Griff//Handle","Držení"
"Griffform","Držení"
"Griffform // Handle","Držení"
"Griffform // handle","Držení"
"Griffform Handle","Držení"
"Griffform//Handle","Držení"
"Grifform//Handle","Držení"
"Größe","Velikost"
"Größe  // size","Velikost"
"Größe//Size","Velikost"
"Inhalt","Objem"
"Kombinationen","Kombinace"
"Lakování dřeva","Lakování dřeva"
"Material","Materiál"
"Montáž stolu","Montáž stolu"
"Objem","Objem"
"Poukaz","Poukaz"
"Pálka","Typ pálky"
"Příslušenství","Příslušenství"
"Robot","Robot"
"Rozměr dřeva (š x v) mm","Rozměr (š x v)"
"Schwammstärke","Šířka"
"Stärke","Šířka"
"Stärke // Thickness","Šířka"
"Stärke // thickness","Šířka"
"Stärke//Thickness","Šířka"
"Stärke/Thickness","Šířka"
"Stück","Množství"
"Síla houby","Šířka"
"Tloušťka desky","Tloušťka desky"
"Tloušťka houby","Šířka"
"Tloušťka potahů","Šířka"
"Tuning potahu","Tuning potahu"
"Tvar držátka","Držení"
"Velikost","Velikost"
"Velikost FT Igre","Velikost"
"Velikost ponožek","Velikost"
"Verpackungseinheit","Počet"
"Váha (gr)","Hmotnost"
"barva","Barva"
"drzatko","Držení"
"houba","Šířka"
"pa_farba","Barva"
"pa_hrubka-spongie","Šířka"
"pa_tvrdost-spongie","Tvrdost"
"pa_typ-rucky","Držení"
"pa_velkost","Velikost"
"pa_velkost-ponoziek","Velikost"
"pa_velkosti","Velikost"
"pa_znamenie-zverokruhu","Znamení zvěrokruhu"
"velikost","Velikost"
"Hodnota poukazu","Hodnota"
"Nennwerte","Hodnota"
"Míčky","Množství"
"Nášivky","Barva"
"Ochranná páska","Délka/šířka"
"Ohrádky","Délka"
"Textil","Velikost"
"Prkna","Držátko"
"Typ Euro Classic ALL++Ventus Regular Alpha","Typ pálky Euro Classic ALL++ Ventus Regular Alpha"
"Title","Držení"
