"KEY","VALUE"
"1,8","1,8"
"1.2 mm // thin","1,2"
"1.4 mm // thick","1,4"
"1.8 mm // thick","1,8"
"2,0","2,0"
"blau","modrá"
"Černá","černá"
"Červená","červená"
"gerade // straight","rovné"
"grün","zelená"
"konkav // flared","konkávní"
"max","max"
"rot // red","červená"
"schwarz // black","černá"
"FL - konkávní","konkávní"
"90","90g"
"ST - rovné","rovné"
"92","92g"
"1,9","1,9"
"2,1","2,1"
"1,7","1,7"
"OX","OX"
"0,5","0,5"
"1,2","1,2"
"2,3","2,3"
"Modrá","modrá"
"Zelená","zelená"
"1,5","1,5"
"AN - anatomické","anatomické"
"83","83g"
"bílo-modrá","bílo-modrá"
"41","41"
"0","0"
"0,1","0,1"
"0,2","0,2"
"0,3","0,3"
"0,4","0,4"
"0,6","0,6"
"0,7","0,7"
"0,8","0,8"
"0,9","0,9"
"1","1"
"1,1","1,1"
"1,3","1,3"
"1,4","1,4"
"1,6","1,6"
"2","2"
"2,2","2,2"
"2,4","2,4"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"30","30"
"31","31"
"32","32"
"33","33"
"34","34"
"35","35"
"36","36"
"37","37"
"38","38"
"39","39"
"40","40"
"42","42"
"43","43"
"44","44"
"45","45"
"46","46"
"47","47"
"48","48"
"49","49"
"50","50"
"60","60g"
"61","61g"
"62","62g"
"63","63g"
"64","64g"
"65","65g"
"66","66g"
"67","67g"
"68","68g"
"69","69g"
"70","70g"
"71","71g"
"72","72g"
"73","73g"
"74","74g"
"75","75g"
"76","76g"
"77","77g"
"78","78g"
"79","79g"
"80","80g"
"81","81g"
"82","82g"
"84","84g"
"85","85g"
"86","86g"
"87","87g"
"88","88g"
"89","89g"
"91","91g"
"93","93g"
"94","94g"
"95","95g"
"96","96g"
"97","97g"
"98","98g"
"99","99g"
"100","100g"
"40,5","40,5"
"155x163","155x163"
"1,0","1,0"
"2,1-2,2","2,1-2,2"
"PR - pravák","Pro praváka"
"153x155","153x155"
"152x155","152x155"
"151x159","151x159"
"25 mm","25 mm"
"Fólie","Fólie"
"100 ml","100 ml"
"90 ml","90 ml"
"500 ml","500 ml"
"50 ml","50 ml"
"Bílá","bílá"
"40+","40+"
"Rovné (Classic)","rovné"
"152x158","152x158"
"150x157","150x157"
"Měrka","Měrka"
"12 mm","12 mm"
"9 mm","9 mm"
"6 mm","6 mm"
"250 ml","250 ml"
"Fialová","fialová"
"S","1,0"
"Šedá","šedá"
"XXS","XXS"
"22 mm","22 mm"
"150x159","150x159"
"110 ml","110 ml"
"XXL","XXL"
"XL","XL"
"M","1,0"
"L","1,0"
"151x158","151x158"
"Růžová","růžová"
"150x158","150x158"
"LV - levák","LV - levák"
"modro-červená","modro-červená"
"Černo-červená","černo-červená"
"DONIC","DONIC"
"Sběrač","Sběrač"
"bílo-červená","bílo-červená"
"Košík","Košík"
"1000 Kč","1000 Kč"
"1500 Kč","1500 Kč"
"2000 Kč","2000 Kč"
"500 Kč","500 Kč"
"Fast Pong System","rychlý pong systém"
"151x155","151x155"
"Černo-petrolejová","černo-petrolejová"
"4XL","4XL"
"Červeno-černá","černo-červená"
"Černo-modrá","černo-modrá"
"Námořní modrá-zelená","modro-zelená"
"černá","černá"
"XS","XS"
"XXXL","XXL"
"XXXXL","XXL"
"bílá","bílá"
"140","1,4"
"modrá","modrá"
"152","1,5"
"XXXXXL","XXXXL"
"zelená","zelená"
"červená","červená"
"XXS (34)","XXS"
"XS (36)","XS"
"S (38)","1,0"
"M (40)","1,0"
"L (42)","L"
"XL (44)","XL"
"XXL (46)","XXL"
"černá/zelená","černá/zelená"
"šedá/modrá","šedá/modrá"
"černá/červená","černá/červená"
"modrá/zelená","modrá/zelená"
"schwarz/grau","černá/šedá"
"Versandfertig in 7 Tagen","Skladem za 7 dní"
"rot","červená"
"Versandfertig ab 18.06.25","Skladem od 18.06.25"
"schwarz","černá"
"Versandfertig ab 30.06.25","Skladem od 30.06.25"
"Lieferzeit: 1-3 Werktage","Skladem za 1-3 pracovní dny"
"pink","růžová"
"Ausverkauft","Skladem"
"blau/pink","modro-růžová"
"multicolor","multicolor"
"schwarz/blau","černá/modrá"
"schwarz/neongelb","černá/neonová žlutá"
"schwarz/pink","černá/růžová"
"blau/grün","modro-zelená"
"schwarz/gelb","černá/žlutá"
"schwarz/rot","černá/červená"
"blau/gelb","modro-žlutá"
"grau/blau","šedá/modrá"
"schwarz/grün","černá/zelená"
"schwarz/neonrot","černá/neonová červená"
"grau melange","šedá melange"
"dunkelblau/blau","tmavě modrá/modrá"
"rot/schwarz","červená/černá"
"Versandfertig ab 07.07.25","Skladem od 07.07.25"
"grau/schwarz","šedá/černá"
"silber","stříbrný"
