Name,Short Description,Description,Main Photo Filepath,Gallery Filepaths,Variants,URL
Balíček Ohrádka ANDRO Stabilo 233 x 90 cm 2 ks," <p>Cenově zvýhodněný balíček dvou ohrádek <a href=""/ohradka-stabilo-2/"">andro Stabilo</a> s rozměry 233 x 90 cm;</p> <ul> <li>zesílený rám ""Stabilo"" pro delší životnost;</li> <li>modrá barva.</li> </ul>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček Ohrádka ANDRO Stabilo 233 x 90 cm 2 ks\MainImage\16383_umrandung-2018-blau-final-72dpi-rgb-webshopnkblqqcm7er4w.jpg,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček Ohrádka ANDRO Stabilo 233 x 90 cm 2 ks\GalleryImages\16383_screenshot-2023-12-28-at-09-57-52-andro-umrandung-stabilo--2-33-x-0-90.png|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček Ohrádka ANDRO Stabilo 233 x 90 cm 2 ks\GalleryImages\16383_umrandung-2018-blau-final-72dpi-rgb-webshopnkblqqcm7er4w.jpg,"{""key_value_pairs"": {}, ""current_price"": 2480, ""basic_price"": 3100, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-ohradka-andro-stabilo-233-x-90-cm-2-ks/
Balíček SAUER&TRÖGER Banana + Monkey + Secret Flow," <p>Doporučená kombinace materiálu od samotného pana Sauera z firmy <a href=""https://www.sauer-troeger.com/en"">SAUER&amp;TRÖGER</a> za zvýhoděnou cenu (-20% z MOC jednotlivých produktů);</p> <ul> <li><a href=""/prkno-sauer-troger-banana/"">prkno Banana:</a> útočné prkno s vysokou citlivostí v konkávním nebo rovném držení;</li> <li><a href=""/potah-secret-flow-chop/"">potah Secret Flow:</a> vyvážený allroundový potah kombinující jedinečnou středně tvrdou SC houbu a nový povrch s vylepšenou rychlostí, výraznějším spinem a maximální kontrolou v síle 2,1 či 1,8;</li> <li><a href=""/potah-sauer-troger-monkey/"">potah Monkey:</a> nebezpečné dlouhé vroubky s unikátním názvem, který zaujme na první pohled (aktuální nabídku barev a sil naleznete <a href=""/potah-sauer-troger-monkey/"">zde</a>).</li> </ul> <p><strong>POZOR! </strong>Při koupi tohoto balíčku je potřeba do poznámky k objednávce uvést:</p> <ul> <li>typ držátka (FL nebo ST);</li> <li>sílu/barvu u obou potahů, aktuální nabídku naleznete po rozkliknutí jednotlivých názvů: <a href=""/potah-secret-flow-chop/"">Secret Flow</a> a <a href=""/potah-sauer-troger-monkey/"">Monkey</a>.</li> </ul>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Banana + Monkey + Secret Flow\MainImage\16109_tischtennis-lange-noppe-bundle-sauer-troeger-monkey-banana-secret-flow.jpg,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Banana + Monkey + Secret Flow\GalleryImages\16109-1_j.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Banana + Monkey + Secret Flow\GalleryImages\16109_tischtennis-lange-noppe-bundle-sauer-troeger-monkey-banana-secret-flow.jpg,"{""key_value_pairs"": {}, ""current_price"": 2790, ""basic_price"": 3490, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-sauer-troger-banana-monkey-secret-flow/
Balíček SAUER&TRÖGER Banana + Monkey," <div class=""p-short-description"" data-testid=""productCardShortDescr""> <p>Cenově zvýhodněný balíček dvou nejnovějších produktů německé značky <a href=""https://sauer-troeger.com/"">SAUER&amp;TRÖGER</a> sestávající ze:</p> <ul> <li>snadno kontrolovatelného útočného <a href=""/prkno-sauer-troger-banana/"">prkna Banana</a>;</li> <li>nebezpečných <a href=""/potah-sauer-troger-monkey/"">dlouhých vroubků Monkey</a>!</li> </ul> <p><strong>POZOR! </strong>Při koupi tohoto balíčku je potřeba do poznámky k objednávce uvést:</p> <ul> <li>typ držátka (konkávní FL nebo rovné ST); </li> <li>sílu/barvu potahu (červená/černá/modrá x verze bez houby (OX) nebo 0,6 s tlumící houbou.</li> </ul> </div>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Banana + Monkey\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 2330, ""basic_price"": 2740, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-sauer-troger-banana-monkey/
Balíček SAUER&TRÖGER Unicorn + Hellfire + Secret Flow," <div class=""p-short-description"" data-testid=""productCardShortDescr""> <p>Doporučená kombinace materiálu od samotného pana Sauera z firmy <a href=""https://www.sauer-troeger.com/en"">SAUER&amp;TRÖGER</a> za zvýhoděnou cenu (-20% z MOC jednotlivých produktů);</p> <ul> <li><a href=""/prkno-sauer-troger-unicorn/"">prkno Unicorn:</a> designově výjimečné allroundové prkno vhodné pro zkušenou hru s dlouhými vroubky i klasickou allroundovou hru;</li> <li><a href=""/potah-secret-flow-chop/"">potah Secret Flow:</a> vyvážený allroundový potah kombinující jedinečnou středně tvrdou SC houbu a nový povrch s vylepšenou rychlostí, výraznějším spinem a maximální kontrolou v síle 2,1 či 1,8;</li> <li><a href=""/potah-sauer-troger-hellfire-x/"">potah Hellfire X</a>: dlouhé vroubky s vyvážeností rychlosti, kontroly, rušivého účinku a spinového potenciálu.</li> </ul> <p><strong>POZOR! </strong>Při koupi tohoto balíčku je potřeba do poznámky k objednávce uvést:</p> <ul> <li>typ držátka (FL nebo ST);</li> <li>sílu/barvu u obou potahů, aktuální nabídku naleznete po rozkliknutí jednotlivých názvů: <a href=""/potah-secret-flow-chop/"">Secret Flow</a> a <a href=""/potah-sauer-troger-hellfire-x/"">Hellfire X</a>.</li> </ul> </div>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Unicorn + Hellfire + Secret Flow\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 2550, ""basic_price"": 3190, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-sauer-troger-unicorn-hellfire-secret-flow/
Balíček SAUER&TRÖGER Unicorn + Hellfire X," <p>Cenově zvýhodněný balíček dvou nejnovějších produktů německé značky <a href=""https://sauer-troeger.com/"">SAUER&amp;TRÖGER</a> sestávající z:</p> <ul> <li>všestranného umělce-prkna <a href=""/prkno-sauer-troger-unicorn/"">Unicorn</a>;</li> <li>dlouhých vroubků <a href=""/potah-sauer-troger-hellfire-x/"">Hellfire X</a> - pozor, nyní je tento potah dostupný i v nových barvách - fialové a zelené (pouze ve verzi OX)!</li> </ul> <p><strong>POZOR! </strong>Při koupi tohoto balíčku je potřeba do poznámky k objednávce uvést:</p> <ul> <li>typ držátka (FL nebo ST);</li> <li>sílu/barvu potahu (červená/černá/fialová/zelená x OX/0,5/1,2). Fialová a zelená barva je dostupná pouze ve verzi OX!</li> </ul>"," <h3>Detailní popis produktu</h3> <p><a href=""https://www.sportspin.cz/prkno-sauer-troger-unicorn/""><strong>Prkno SAUER &amp; TRÖGER Unicorn</strong></a></p> <p>Allroundové prkno ideální zejména v kombinaci s dlouhými vroubky<span> </span><a href=""https://www.sportspin.cz/potah-sauer-troger-hellfire-x/"">Hellfire X</a>!</p> <ul> <li>designově výjimečné, navržené berlínskou umělkyní Marií Degel, se symbolikou duhy, která značí široké možnosti v útočné i obranné hře;</li> <li>vhodné zejména pro tyto typy hry:  <ul> <li>zkušenou hru s dlouhými vroubky: intenzívní prožitek ze hry od paže do konečků prstů a schopnost pohltit sílu útočných topspinů ze strany soupeře/vrátit úder s vysokou kontrolou ;</li> <li>klasickou allroundovou hru: ideální kombinace dýh pro pasívní blok i nátlakovou hru, promíjí chyby a napravuje špatný úder. </li> </ul> </li> </ul> <p><span></span><a href=""https://www.sportspin.cz/potah-sauer-troger-hellfire-x/""><strong>Potah SAUER &amp; TRÖGER Hellfire X</strong></a><br/><span></span></p> <p>Novější verze úspěšných dlouhých vroubků<span> </span><a href=""https://www.sportspin.cz/potah-hellfire/"">Hellfire</a><span> </span>značky <a href=""https://sauer-troeger.com/en/#main"">SAUER &amp; TRÖGER</a>;</p> <ul> <li>vyvinuta ve spolupráci s hráči používajícími dlouhé vroubky pod vedením Sebastiana Sauera, vlastníka značky <a href=""https://sauer-troeger.com/en/#main"">SAUER &amp; TRÖGER</a>;</li> <li>vyznačuje se unikátním herním charakterem - vyvážeností rychlosti, kontroly, rušivého účinku a spinového potenciálu;</li> <li>v porovnání s potahem Hellfire má tento potah o malinko větší rychlost, stejnou kontrolu a o dost vyšší rušivý efekt;</li> <li>přizpůsobena požadavkům na hru s plastovým míčem;</li> <li>ideální v kombinaci s prknem<span> </span><a href=""https://www.sportspin.cz/prkno-sauer-troger-unicorn/"">Unicorn</a>!</li> </ul>",H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček SAUER&TRÖGER Unicorn + Hellfire X\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 2075, ""basic_price"": 2440, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-sauer-troger-unicorn-hellfire-x/
Balíček XIOM Vega X + Vega Korea," <p>Cenově zvýhodněný balíček sestavený na míru samotnou značkou <a href=""https://www.xiom.eu/rubber"">XIOM</a>:</p> <ul> <li>rychlejší <a href=""/potah-xiom-vega-x/"">Vega X </a>na forehand (červená, černá o síle 1,8/2,0/max);</li> <li>citlivější <a href=""/potah-xiom-vega-korea/"">Vega Korea</a> na backhand (černá, modrá) o síle max.</li> </ul> <p><strong>POZOR! </strong>Při koupi tohoto balíčku je potřeba do poznámky k objednávce uvést:</p> <ul> <li>síly a barvy jednotlivých potahů.</li> </ul> <p> </p> <p> </p>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček XIOM Vega X + Vega Korea\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 1390, ""basic_price"": 1740, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-xiom-vega-x-vega-korea/
Balíček XIOM Omega 7," <p>Balíček produktů XIOM za zvýhodněnou cenu obsahuje:</p> <ul> <li>1 potah řady <a href=""/rodina-potahu-xiom-omega-7/"">Omega VII</a> (typ dle svého výběru - neplatí pro <a href=""/potah-omega-7-tour/"">Omega 7 TOUR</a>!);</li> <li>1 <a href=""/lepidlo-energy-50-ml/"">lepidlo XIOM Energy 50 ml</a>;</li> <li>1 <a href=""/ochranna-paska-xiom-na-jednu-palku-logo/"">pásku XIOM Logo na jednu pálku</a>.</li> </ul>"," <h3>Detailní popis produktu</h3> <p><span style=""color: #ff0000;""><strong>Potahy XIOM Omega 7</strong></span></p> <p>Potahy řady Omega 7 jsou určeny pro útočnou hru, vybírat lze ze tří typů (neplatí na potah <a href=""https://www.sportspin.cz/potah-omega-7-tour/"">Omega 7 Tour</a>):</p> <p><a href=""http://www.sportspin.cz/potah-xiom-omega-7-eu/"">Potah Omega 7 EU</a></p> <ul> <li>Jasná volba pro tvrdou útočnou hru; citlivější a lépe kontrolovatelná než Omega 7 PRO</li> </ul> <p><a href=""http://www.sportspin.cz/omega-7-pro/"">Potah Omega 7 PRO</a></p> <ul> <li>Jasná volba pro tvrdou útočnou hru; rychlejší a silnější než Omega 7 EU</li> </ul> <p><a href=""http://www.sportspin.cz/potah-omega-7-asia/"">Potah Omega 7 Asia</a></p> <ul> <li>Jasná volba pro tvrdou útočnou hru; rychlejší a silnější než Omega 7 PRO</li> </ul> <p><strong><span style=""color: #ff0000;""><a href=""http://www.sportspin.cz/lepidlo-energy-50-ml/"" style=""color: #ff0000;"">Lepidlo Energy 50 ml</a></span></strong></p> <ul> <li>vodní lepidlo bez škodlivin (VOC free); obsažený latex má podobný účinek katapult efektu jako zakázaný tuning (tento účinek lze ještě znásobit zvýšením počtu vrstev aplikovaného lepidla); velmi přilnavé, i když snadno odstranitelné, existuje i ve větší verzi <a href=""http://www.sportspin.cz/lepidlo-energy-200-ml/"">200 ml</a></li> </ul> <div class=""p-short-description"" data-testid=""productCardShortDescr""> </div> <p><span style=""color: #ff0000;""><a href=""http://www.sportspin.cz/micky-xiom---3-sl/"" style=""color: #ff0000;""><strong></strong></a></span><span style=""color: #000080;""><strong>DŮLEŽITÉ:</strong></span><br/><span style=""color: #000080;""><strong>DO OBJEDNÁVKY JE POTŘEBA PŘIPSAT: TYP potahu Omega 7, jeho BARVU a SÍLU houby</strong></span></p> <p><span style=""color: #000080;""><strong>Jeden zákazník = jeden balíček. Jeden zákazník však může mít vícero Omega 7 za lepší cenu! Více informací u nás na telefonu 604 522 808.</strong></span></p>",H:\Desaka\SportSpin\Full_02.07.2025\Photos\Balíček XIOM Omega 7\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 1135, ""basic_price"": 1420, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/balicek-xiom/
Batoh ANDRO Moriva," <p>Sportovně elegantní batoh s tzv. rolovacím zapínáním vhodný na sport i běžné nošení;</p> <ul> <li>velký hlavní prostor s vnitřní kapsou na zip a úložištěm na notebook;</li> <li>menší kapsa na zip na přední straně batohu a síťová kapsa po jeho straně;</li> <li>vypolstrovaná záda i popruhy přes ramena = záruka maximálního pohodlí při nošení;</li> <li>pevnější materiál pro snadnější údržbu a celkovou odolnost batohu proti zašpinění;</li> <li>rozměry 45 x 30 x 17,5 cm, objem 24 litrů;</li> <li>součást <a href=""/vyhledavani/?string=moriva"">kolekce andro Moriva</a></li> </ul>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\MainImage\16783_andro-backpack-moriva-black-401-021-048-1-front-unrolled.jpg,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-1_andro-backpack-moriva-black-401-021-048-2-front-rolled.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-2_andro-backpack-moriva-black-401-021-048-3-side.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-3_andro-backpack-moriva-black-401-021-048-4-front-open.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-4_andro-backpack-moriva-black-401-021-048-5-front-up.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-5_andro-backpack-moriva-black-401-021-048-6-detail.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-6_andro-backpack-moriva-black-401-021-048-7-detail.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-7_andro-backpack-moriva-black-401-021-048-8-detail.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-8_andro-backpack-moriva-black-401-021-048-9-detail.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783-9_andro-backpack-moriva-black-401-021-048-10-detail.jpg|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh ANDRO Moriva\GalleryImages\16783_andro-backpack-moriva-black-401-021-048-1-front-unrolled.jpg,"{""key_value_pairs"": {}, ""current_price"": 1040, ""basic_price"": 1040, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/batoh-andro-moriva/
Batoh na kolečkách TIBHAR Etna," <p>Vysoce kvalitní batoh na kolečkách z řady pouzder a tašek <a href=""/vyhledavani/?string=etna"">značky Tibhar Etna</a>;</p> <ul> <li>dvě kolečka, vysouvací držátko a vypolstrované rukojeti pro maximální pohodlí při používaní;</li> <li>velký hlavní prostor a kapsy usnadňují organizaci obsahu zavazadla;</li> <li>rozměry 31 x 28 x 50 cm.</li> </ul>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh na kolečkách TIBHAR Etna\MainImage,,"{""key_value_pairs"": {}, ""current_price"": 2050, ""basic_price"": 2050, ""stock_status"": ""Na závaznou objednávku s dodáním nejpozději do 10 dní""}",https://www.sportspin.cz/batoh-na-koleckach-tibhar-etna/
Batoh TIBHAR Shanghai," <p>Multifunkční batoh s vypolstrovanými zády;</p> <ul> <li>řada kapes, vč. jedné uzavíratelné na notebook;</li> <li>připojení USB pro nabíjení přes powerbanku;</li> <li>dvě barevné varianty.</li> </ul> <p><strong>Černá verze je zlevněna na částku 1 360 Kč. Platí do vyprodání zásob.</strong></p> <p> </p>", <h3>Detailní popis produktu</h3> <p>Popis produktu není dostupný</p>,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh TIBHAR Shanghai\MainImage\7228_shanghai-batoh-all.jpg,H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh TIBHAR Shanghai\GalleryImages\7228-1_shanghai-backpack-blue.png|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh TIBHAR Shanghai\GalleryImages\7228_shanghai-backpack.png|H:\Desaka\SportSpin\Full_02.07.2025\Photos\Batoh TIBHAR Shanghai\GalleryImages\7228_shanghai-batoh-all.jpg,"{""key_value_pairs"": {""Barevná kombinace"": ""modrá""}, ""current_price"": 1700, ""basic_price"": 1700, ""stock_status"": ""Na závaznou objednávku s dodáním nejpozději do 10 dní""}|{""key_value_pairs"": {""Barevná kombinace"": ""černá""}, ""current_price"": 1360, ""basic_price"": 1700, ""stock_status"": ""Na prodejně/ihned k odeslání""}",https://www.sportspin.cz/batoh-shanghai/
