Name,Short Description,Description,Main Photo Filepath,Gallery Filepaths,Variants,URL
Joola - BUDDY V300 - iPong,<strong>Joola - robot TT BUDDY -</strong>TT BUDDY s integrovaným oscilátorem a dálkové ovládání je inovovaný  TT Buddy. Jako vhodný doplněk je možné zakoupit záchytnou síť.,"<p id=""tt""><strong>Joola - robot TT BUDDY -</strong>TT BUDDY s integrovaným oscilátorem a dálkové ovládání je inovovaný  TT Buddy. Jako vhodný doplněk je možné zakoupit záchytnou síť.</p> <p>Inovovaný robot Buddy Pro v moderním designu. Dokáže hrát míčky se spodní rotací (čopy), mírně vrchní (drajvy) a extrémně vrchní rotací (topspiny). Výhodou je vystřelování míčků po celé šíři stolu. Zásobník je na 100 míčků. Vzhledem ke své velikosti a schopnostem je perfektní pro kluby.</p> <p><br/> Technické parametry:<br/>- možnost oscilace - vystřelování míčků do různých stran stolu<br/>- rychlé nastavení bez nářadí<br/>- variabilní frekvence 12 - 70 míčků za minutu<br/>- 3 druhy rotací<br/>- nízká hmotnost 1,1 kg<br/>- rozměr: 47 x 28 x 28 cm      </p> <p>K dispozici EN návod. </p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - BUDDY V300 - iPong\MainImage\2818-1_buddyprov300.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - BUDDY V300 - iPong\GalleryImages\2818_21129-v300-2.jpg%3F62cac103|H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - BUDDY V300 - iPong\GalleryImages\2818-1_buddyprov300.jpg%3F62cac103,"{""key_value_pairs"": {""Robot"": ""JOOLA""}, ""current_price"": 5850.0, ""basic_price"": 5850.0, ""stock_status"": """"}",https://www.stoten.cz/akcni-nabidka/buddy/
"Joola - Allround ""J""",,"<div class=""trans-verified-button-small"" dir=""ltr"" id=""gt-res-dir-ctr""><span id=""gt-res-error"" style=""display: none;""></span><span>Dřevo Joola J-Blade All určeno pro začátečníky a děti</span></div>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - Allround %22J%22\MainImage\9554_69125-joola-allround-j-2020.jpg%3F670e3d52,H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - Allround %22J%22\GalleryImages\9554_69125-joola-allround-j-2020.jpg%3F670e3d52,"{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""151x155"", ""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""80""}, ""current_price"": 490.0, ""basic_price"": 490.0, ""stock_status"": """"}",https://www.stoten.cz/akcni-nabidka/joola-allround--j-/
Joola - TT BAT ROSSKOPF SPECIAL,"<span style=""font-size: 12pt;""><strong>Raketa je vyrobena z pětivrstvé překližky a má kvalitní potah schválený ITTF. Je určena pro začínající hráče a pro trénink na školách.</strong></span>","<p><span style=""font-size: 12pt;""><strong>Raketa je vyrobena z pětivrstvé překližky a má kvalitní potah schválený ITTF. Je určena pro začínající hráče a pro trénink na školách.</strong></span></p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - TT BAT ROSSKOPF SPECIAL\MainImage\9024_images--4.jpg%3F651bd48f,H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - TT BAT ROSSKOPF SPECIAL\GalleryImages\9024_images--4.jpg%3F651bd48f|H:\Desaka\Stoten\Full_10.01.2025\Photos\Joola - TT BAT ROSSKOPF SPECIAL\GalleryImages\9024-1_joola-rosskopf-special-reket-za-stoni-tenis-sportline-slika-o-134985013.jpg%3F651bd535,"{""key_value_pairs"": {""Pálka"": ""Hobby pálka""}, ""current_price"": 200.0, ""basic_price"": 200.0, ""stock_status"": """"}",https://www.stoten.cz/akcni-nabidka/joola-tt-bat-rosskopf-special/
Butterfly - A.Grubba,"Jedno z nejprodávanějších, univerzálních dřev (kategorie ALL) na světě v novém ""kabátě"". Excelentní cit pro míček a velmi silná kontrola v každé herní situaci, to jsou největší přednosti této klasiky mezi allroundovými dřevy, která je nejvíce preferovaná všestrannými a univerzálními hráči. S původním typem dřeva hrála polská legenda Andrzej Grubba.","<p>Jedno z nejprodávanějších, univerzálních dřev (kategorie ALL) na světě v novém ""kabátě"". Excelentní cit pro míček a velmi silná kontrola v každé herní situaci, to jsou největší přednosti této klasiky mezi allroundovými dřevy, která je nejvíce preferovaná všestrannými a univerzálními hráči. S původním typem dřeva hrála polská legenda Andrzej Grubba.</p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Butterfly - A.Grubba\MainImage\400_butterfly-a-grubba.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Butterfly - A.Grubba\GalleryImages\400_butterfly-a-grubba.jpg%3F62cac103,"{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""151x159"", ""Tvar držátka"": ""AN - anatomické"", ""Váha (gr)"": ""85""}, ""current_price"": 990.0, ""basic_price"": 990.0, ""stock_status"": """"}|{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""151x159"", ""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""85""}, ""current_price"": 990.0, ""basic_price"": 990.0, ""stock_status"": """"}|{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""151x159"", ""Tvar držátka"": ""ST - rovné"", ""Váha (gr)"": ""85""}, ""current_price"": 990.0, ""basic_price"": 990.0, ""stock_status"": """"}",https://www.stoten.cz/all-2/a-grubba-new/
Donic - Appelgren Allplay Senso V1 ALL+,"Rukojeť v provedení V1 přináší tomuto prknu nepatrně větší rychlost , při celkem neznatelně snížené kontrole v porovnání s klasikou Appelgren Allplay.<br/><br/>","<p>Rukojeť v provedení V1 přináší tomuto prknu nepatrně větší rychlost , při celkem neznatelně snížené kontrole v porovnání s klasikou Appelgren Allplay.<br/><br/></p> <p><strong>Rychlost 81 / Kontrola 91 / Počet vrstev 5</strong></p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Donic - Appelgren Allplay Senso V1 ALL+\MainImage\544_donic-appelgren-allplay-senso-v1-all-.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Donic - Appelgren Allplay Senso V1 ALL+\GalleryImages\544_donic-appelgren-allplay-senso-v1-all-.jpg%3F62cac103,"{""key_value_pairs"": {""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""80""}, ""current_price"": 950.0, ""basic_price"": 950.0, ""stock_status"": ""Dodání do 5 pracovních dní""}",https://www.stoten.cz/all-2/appelgren-allplay-senso-v1-all/
Gewo - Balsa Carbon 375,,"Nejmodernější materiály a měkká balsa dávají prknu výborný cit a kontrolu. Toto prkno je vhodné pro univerzální a pasivní hru. Vhodné i pro obranáře, kteří kombinují obranou hru s útočnou.    Vlastnosti:    Rychlost: 84  Kontrola: 99  Váha: 75g    Počet vrstev: 3+2",H:\Desaka\Stoten\Full_10.01.2025\Photos\Gewo - Balsa Carbon 375\MainImage\4299_7802-0241x241.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Gewo - Balsa Carbon 375\GalleryImages\4299_7802-0241x241.jpg%3F62cac103,"{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""151x155"", ""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""75""}, ""current_price"": 1450.0, ""basic_price"": 1450.0, ""stock_status"": ""Dodání do 6 až 10 pracovních dní""}",https://www.stoten.cz/all-2/balsa-carbon-375/
Barna - SUPER BALSA,"<span style=""font-size: 12pt;"">S SUPER BALSA BARNA ORIGINAL působivě ukazuje, co je v dnešní době ještě možné s balzovými dřevy.</span>","<p style=""text-align: justify;""><span style=""font-size: 12pt;"">S SUPER BALSA BARNA ORIGINAL působivě ukazuje, co je v dnešní době ještě možné s balzovými dřevy.</span></p> <p style=""text-align: justify;""><span style=""font-size: 12pt;"">Symetricky tvarované nejlepší dřevo má balzové jádro o tloušťce 5,5 mm, které je doplněno vyšší třídou mezi dýhy ze dřeva Ayous a Limba.</span></p> <p style=""text-align: justify;""><span style=""font-size: 12pt;"">Tato kompozice dýhy umožňuje jedinečný a příjemný dotek při hře, s typickými vlastnostmi pohlcování rychlosti balzy při pasivní hře a katapultovým efektem při útočné hře.</span></p> <p style=""text-align: justify;""><span style=""font-size: 12pt;"">Zejména u stolu SUPER BALSA umožňuje různé styly rušivé hry díky svým vysokým kontrolním vlastnostem a nízké dráze míče.</span></p> <p> </p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Barna - SUPER BALSA\MainImage\7506_barna-super-balsa.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Barna - SUPER BALSA\GalleryImages\7506_barna-super-balsa.jpg%3F62cac103,"{""key_value_pairs"": {""Rozměr dřeva (š x v) mm"": ""153x155"", ""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""60""}, ""current_price"": 1950.0, ""basic_price"": 1950.0, ""stock_status"": """"}",https://www.stoten.cz/all-2/barna-super-balsa/
DER MATERIALSPEZIALIST - OLYMPEA,"Silnější allroundové prkno z ručně vybraných dýh slepených tradiční technologií, v kombinaci s vroubkovanými či antitopspinovými potahy má perfektní rušivý efekt, umožňuje velmi nízkou křivku letu míče, dobré útočné možnosti. V kombinaci se softovými potahy vylepší rotaci.","<p style=""text-align: justify;"">Silnější allroundové prkno z ručně vybraných dýh slepených tradiční technologií, v kombinaci s vroubkovanými či antitopspinovými potahy má perfektní rušivý efekt, umožňuje velmi nízkou křivku letu míče, dobré útočné možnosti. V kombinaci se softovými potahy vylepší rotaci.</p> <p style=""text-align: justify;"">Počet vrstev: 5</p> <p style=""text-align: justify;"">Rychlost: 84</p> <p style=""text-align: justify;"">Kontrola: 94</p> <p style=""text-align: justify;"">Váha: 75g</p> <p style=""text-align: justify;"">Rozměry dřeva: 15,6 cm x 15,0 cm x 0,63 cm</p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\DER MATERIALSPEZIALIST - OLYMPEA\MainImage\7191-3_der-materialspezialist-olympea.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\DER MATERIALSPEZIALIST - OLYMPEA\GalleryImages\7191-3_der-materialspezialist-olympea.jpg%3F62cac103|H:\Desaka\Stoten\Full_10.01.2025\Photos\DER MATERIALSPEZIALIST - OLYMPEA\GalleryImages\7191-1_der-materialspezialist-olympea.jpg%3F62cac103|H:\Desaka\Stoten\Full_10.01.2025\Photos\DER MATERIALSPEZIALIST - OLYMPEA\GalleryImages\7191_der-materialspezialist-olympea.jpg%3F62cac103|H:\Desaka\Stoten\Full_10.01.2025\Photos\DER MATERIALSPEZIALIST - OLYMPEA\GalleryImages\7191-2_der-materialspezialist-olympea.jpg%3F62cac103,"{""key_value_pairs"": {""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""75""}, ""current_price"": 2025.0, ""basic_price"": 2025.0, ""stock_status"": """"}",https://www.stoten.cz/all-2/der-materialspezialist-olympea/
Der materialspezialist Scooper - Allround+,"Se SCOOPER vám nabízíme zcela nový typ dřeva na stolní tenis s jedinečným tvarem dřeva a výjimečným, výjimečným designem.","<p style=""text-align: justify;"">Se SCOOPER vám nabízíme zcela nový typ dřeva na stolní tenis s jedinečným tvarem dřeva a výjimečným, výjimečným designem.</p> <p style=""text-align: justify;"">Neobvyklý ""lopatový"" tvar v kombinaci s optimalizovanou úderovou plochou poskytuje vylepšený sweet spot a zároveň zvýšení kontrolních hodnot i přes vysokou rychlost.</p> <p style=""text-align: justify;"">Toto dřevo je vhodné zejména při použití vroubků na vnější straně a antispinů, umožňuje vysoce kontrolovanou hru s mimořádným rušivým efektem a plochou dráhou míče.</p> <p style=""text-align: justify;"">Anti hráči bez tření se těší na velmi vysoké otočení rotace dopředu na rotaci soupeře.</p> <p style=""text-align: justify;"">Díky použití ručně vybíraných dýh, nejnovější výrobní technologii a nejvyššímu technickému know-how má SCOOPER také extrémně nízkou hmotnost.</p> <p style=""text-align: justify;"">Pro hráče to znamená zcela nový, jedinečný herní pocit s poutavým designem a vynikajícími herními vlastnostmi.</p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Der materialspezialist Scooper - Allround+\MainImage\8070-2_der-materialspezialist-holz-scooper-allround1.jpg%3F6370c795,H:\Desaka\Stoten\Full_10.01.2025\Photos\Der materialspezialist Scooper - Allround+\GalleryImages\8070-2_der-materialspezialist-holz-scooper-allround1.jpg%3F6370c795|H:\Desaka\Stoten\Full_10.01.2025\Photos\Der materialspezialist Scooper - Allround+\GalleryImages\8070-1_der-materialspezialist-holz-scooper-allround2-1.jpg%3F6370c795|H:\Desaka\Stoten\Full_10.01.2025\Photos\Der materialspezialist Scooper - Allround+\GalleryImages\8070_der-materialspezialist-holz-scooper-allround7-6.jpg%3F6370c795,"{""key_value_pairs"": {""Tvar držátka"": ""FL - konkávní""}, ""current_price"": 3500.0, ""basic_price"": 3500.0, ""stock_status"": """"}",https://www.stoten.cz/all-2/der-materialspezialist-scooper-allround-/
Der Materialspezialist - Destroyer,"Novinka 2015/16. Dřevo se kterým hraje l<span id=""result_box"" lang=""cs"" xml:lang=""cs""><span class=""hps"">ucemburský </span><span class=""hps"">juniorský</span> <span class=""hps"">reprezentant</span> <span class=""hps"">Luka</span> <span class=""hps"">Mladenovic</span>.<br/><span class=""hps"">DESTROYER</span> <span class=""hps"">- je rychlé dřevo kategorie OFF, které v sobě spojuje tyt</span><span class=""hps"">o vlastnosti:</span><br/>u<span class=""hps"">možňuje</span> <span class=""hps"">důrazný</span> <span class=""hps"">útočný</span> <span class=""hps"">styl</span> <span class=""hps"">pomocí</span> kontrů a rotací, <span class=""hps"">ale zároveň i kombinuje dobře spojení s potahem typu ""tráva"" nebo ""anti""</span><br/>vyhovuje svojí <span class=""hps"">konstrukcí</span> ze <span class=""hps"">7.</span><span class=""hps"">vrstev, vč.</span><span class=""hps"">kompozitních</span> <span class=""hps"">vrstev</span><br/>tyto ko<span class=""hps"">mpozitní</span> <span class=""hps"">vrstvy</span> <span class=""hps"">zpomalují</span> <span class=""hps"">míček</span> <span class=""hps"">při</span> <span class=""hps"">blokování a</span> tzv.čopbloku, <span class=""hps"">ale</span> překvapivě zrychlí <span class=""hps"">míčky</span> <span class=""hps"">při </span><span class=""hps"">útočnýc</span> <span class=""hps"">úderech</span><br/>dřevo <span class=""hps"">je ideální</span> <span class=""hps"">v kombinaci s</span> <span class=""hps"">dlouhými a krátkými</span> vroubky (tráva, sendvič)<span class=""hps""> a</span> <span class=""hps"">antispinem, tj.</span> <span class=""hps"">pro</span> <span class=""hps"">útočně</span> <span class=""hps"">orientovaný</span> <span class=""hps"">rušivý</span> <span class=""hps"">styl hry</span><br/><span class=""hps"">DESTROYER</span> - p<span class=""hps"">erfektní</span> dřevo<span class=""hps""> pro</span> <span class=""hps"">všechny hráče</span>, kteří vyžadují <span class=""hps"">vysokou</span> <span class=""hps"">rychlost pro</span> svůj <span class=""hps"">ofenzivní</span> <span class=""hps"">styl</span> <span class=""hps"">kombinující</span> jak útočné tak i rušivé, defenzivní údery.</span>","<p>Novinka 2015/16. Dřevo se kterým hraje l<span id=""result_box"" lang=""cs"" xml:lang=""cs""><span class=""hps"">ucemburský </span><span class=""hps"">juniorský</span> <span class=""hps"">reprezentant</span> <span class=""hps"">Luka</span> <span class=""hps"">Mladenovic</span>.<br/><span class=""hps"">DESTROYER</span> <span class=""hps"">- je rychlé dřevo kategorie OFF, které v sobě spojuje tyt</span><span class=""hps"">o vlastnosti:</span><br/>u<span class=""hps"">možňuje</span> <span class=""hps"">důrazný</span> <span class=""hps"">útočný</span> <span class=""hps"">styl</span> <span class=""hps"">pomocí</span> kontrů a rotací, <span class=""hps"">ale zároveň i kombinuje dobře spojení s potahem typu ""tráva"" nebo ""anti""</span><br/>vyhovuje svojí <span class=""hps"">konstrukcí</span> ze <span class=""hps"">7.</span><span class=""hps"">vrstev, vč.</span><span class=""hps"">kompozitních</span> <span class=""hps"">vrstev</span><br/>tyto ko<span class=""hps"">mpozitní</span> <span class=""hps"">vrstvy</span> <span class=""hps"">zpomalují</span> <span class=""hps"">míček</span> <span class=""hps"">při</span> <span class=""hps"">blokování a</span> tzv.čopbloku, <span class=""hps"">ale</span> překvapivě zrychlí <span class=""hps"">míčky</span> <span class=""hps"">při </span><span class=""hps"">útočnýc</span> <span class=""hps"">úderech</span><br/>dřevo <span class=""hps"">je ideální</span> <span class=""hps"">v kombinaci s</span> <span class=""hps"">dlouhými a krátkými</span> vroubky (tráva, sendvič)<span class=""hps""> a</span> <span class=""hps"">antispinem, tj.</span> <span class=""hps"">pro</span> <span class=""hps"">útočně</span> <span class=""hps"">orientovaný</span> <span class=""hps"">rušivý</span> <span class=""hps"">styl hry</span><br/><span class=""hps"">DESTROYER</span> - p<span class=""hps"">erfektní</span> dřevo<span class=""hps""> pro</span> <span class=""hps"">všechny hráče</span>, kteří vyžadují <span class=""hps"">vysokou</span> <span class=""hps"">rychlost pro</span> svůj <span class=""hps"">ofenzivní</span> <span class=""hps"">styl</span> <span class=""hps"">kombinující</span> jak útočné tak i rušivé, defenzivní údery.</span></p> <p><span lang=""cs"" xml:lang=""cs"">rychlost 84  /  kontrola 94  /  ALL+  / 7  vrstev </span></p>",H:\Desaka\Stoten\Full_10.01.2025\Photos\Der Materialspezialist - Destroyer\MainImage\445_der-materialspezialist-destroyer.jpg%3F62cac103,H:\Desaka\Stoten\Full_10.01.2025\Photos\Der Materialspezialist - Destroyer\GalleryImages\445_der-materialspezialist-destroyer.jpg%3F62cac103,"{""key_value_pairs"": {""Tvar držátka"": ""AN - anatomické"", ""Váha (gr)"": ""85""}, ""current_price"": 2700.0, ""basic_price"": 2700.0, ""stock_status"": """"}|{""key_value_pairs"": {""Tvar držátka"": ""FL - konkávní"", ""Váha (gr)"": ""85""}, ""current_price"": 2700.0, ""basic_price"": 2700.0, ""stock_status"": ""Dodání do 5 pracovních dní""}",https://www.stoten.cz/all-2/destroyer/
